ID_Data;Data;Mes;Nome_Mes;Trimestre;Ano;Eh_Feriado
1;01/01/2026;1;Janeiro;1;2026;Sim
5;05/01/2026;1;Janeiro;1;2026;Não
10;10/01/2026;1;Janeiro;1;2026;Não
15;15/01/2026;1;Janeiro;1;2026;Não
20;20/01/2026;1;Janeiro;1;2026;Não
25;25/01/2026;1;Janeiro;1;2026;Não
31;31/01/2026;1;Janeiro;1;2026;Não
36;05/02/2026;2;Fevereiro;1;2026;Não
41;10/02/2026;2;Fevereiro;1;2026;Não
47;16/02/2026;2;Fevereiro;1;2026;Sim
51;20/02/2026;2;Fevereiro;1;2026;Não
56;25/02/2026;2;Fevereiro;1;2026;Não
59;28/02/2026;2;Fevereiro;1;2026;Não
64;05/03/2026;3;Março;1;2026;Não
69;10/03/2026;3;Março;1;2026;Não
80;21/03/2026;3;Março;1;2026;Não
84;25/03/2026;3;Março;1;2026;Não
90;31/03/2026;3;Março;1;2026;Não
95;05/04/2026;4;Abril;2;2026;Não
100;10/04/2026;4;Abril;2;2026;Não
110;20/04/2026;4;Abril;2;2026;Não
115;25/04/2026;4;Abril;2;2026;Não
120;30/04/2026;4;Abril;2;2026;Não
125;05/05/2026;5;Maio;2;2026;Não
130;10/05/2026;5;Maio;2;2026;Não
140;20/05/2026;5;Maio;2;2026;Não
145;25/05/2026;5;Maio;2;2026;Não
151;31/05/2026;5;Maio;2;2026;Não
156;05/06/2026;6;Junho;2;2026;Não
161;10/06/2026;6;Junho;2;2026;Não
170;19/06/2026;6;Junho;2;2026;Não
175;24/06/2026;6;Junho;2;2026;Não
181;30/06/2026;6;Junho;2;2026;Não
186;05/07/2026;7;Julho;3;2026;Não
191;10/07/2026;7;Julho;3;2026;Não
201;20/07/2026;7;Julho;3;2026;Não
206;25/07/2026;7;Julho;3;2026;Não
212;31/07/2026;7;Julho;3;2026;Não
217;05/08/2026;8;Agosto;3;2026;Não
222;10/08/2026;8;Agosto;3;2026;Não
232;20/08/2026;8;Agosto;3;2026;Não
237;25/08/2026;8;Agosto;3;2026;Não
243;31/08/2026;8;Agosto;3;2026;Não
248;05/09/2026;9;Setembro;3;2026;Não
253;10/09/2026;9;Setembro;3;2026;Não
263;20/09/2026;9;Setembro;3;2026;Não
268;25/09/2026;9;Setembro;3;2026;Não
273;30/09/2026;9;Setembro;3;2026;Não
278;05/10/2026;10;Outubro;4;2026;Não
283;10/10/2026;10;Outubro;4;2026;Não
293;20/10/2026;10;Outubro;4;2026;Não
298;25/10/2026;10;Outubro;4;2026;Não
304;31/10/2026;10;Outubro;4;2026;Não
309;05/11/2026;11;Novembro;4;2026;Não
314;10/11/2026;11;Novembro;4;2026;Não
323;19/11/2026;11;Novembro;4;2026;Não
329;25/11/2026;11;Novembro;4;2026;Não
334;30/11/2026;11;Novembro;4;2026;Não
339;05/12/2026;12;Dezembro;4;2026;Não
344;10/12/2026;12;Dezembro;4;2026;Não
354;20/12/2026;12;Dezembro;4;2026;Não
357;23/12/2026;12;Dezembro;4;2026;Não
364;30/12/2026;12;Dezembro;4;2026;Não
