ID_Data;ID_Municipio;ID_Orgao;ID_Tributo;Valor_Arrecadado
10;1;4;5;4200000,00
10;2;4;5;2100000,00
10;3;4;5;1750000,00
10;4;4;5;1050000,00
10;5;4;5;680000,00
10;6;4;5;820000,00
10;7;4;5;750000,00
10;8;4;5;590000,00
10;9;4;5;640000,00
10;10;4;5;380000,00
10;11;4;5;340000,00
10;12;4;5;480000,00
10;13;4;5;260000,00
10;14;4;5;240000,00
10;15;4;5;280000,00
25;1;3;6;12000000,00
25;2;3;6;5500000,00
25;3;3;6;6800000,00
25;4;3;6;4200000,00
25;6;3;6;5100000,00
25;7;3;6;3800000,00
25;9;3;6;3200000,00
25;12;3;6;1800000,00
5;1;4;8;6800000,00
5;2;4;8;2900000,00
5;3;4;8;3200000,00
5;4;4;8;1800000,00
5;6;4;8;1500000,00
5;7;4;8;1200000,00
31;1;1;2;18000000,00
31;2;1;2;4200000,00
31;3;1;2;5800000,00
31;4;1;2;3500000,00
31;6;1;2;2800000,00
20;1;1;12;1800000,00
20;2;1;12;720000,00
20;3;1;12;850000,00
20;6;1;12;380000,00
15;1;1;1;8500000,00
15;2;1;1;2800000,00
15;3;1;1;2100000,00
15;4;1;1;1200000,00
15;6;1;1;950000,00
41;1;4;5;4200000,00
41;2;4;5;2100000,00
41;3;4;5;1750000,00
41;4;4;5;1050000,00
41;5;4;5;680000,00
41;6;4;5;820000,00
41;7;4;5;750000,00
41;8;4;5;590000,00
41;9;4;5;640000,00
41;10;4;5;380000,00
41;11;4;5;340000,00
41;12;4;5;480000,00
41;13;4;5;260000,00
41;14;4;5;240000,00
41;15;4;5;280000,00
56;1;3;6;11500000,00
56;2;3;6;5200000,00
56;3;3;6;6500000,00
56;4;3;6;4000000,00
56;6;3;6;4900000,00
56;7;3;6;3600000,00
56;9;3;6;3000000,00
56;12;3;6;1700000,00
36;1;4;8;6800000,00
36;2;4;8;2900000,00
36;3;4;8;3200000,00
36;4;4;8;1800000,00
36;6;4;8;1500000,00
36;7;4;8;1200000,00
59;1;1;2;17500000,00
59;2;1;2;4000000,00
59;3;1;2;5600000,00
59;4;1;2;3300000,00
59;6;1;2;2700000,00
51;1;1;12;1800000,00
51;2;1;12;720000,00
51;3;1;12;850000,00
51;6;1;12;380000,00
69;1;4;5;4200000,00
69;2;4;5;2100000,00
69;3;4;5;1750000,00
69;4;4;5;1050000,00
69;5;4;5;680000,00
69;6;4;5;820000,00
69;7;4;5;750000,00
69;8;4;5;590000,00
69;9;4;5;640000,00
69;10;4;5;380000,00
69;11;4;5;340000,00
69;12;4;5;480000,00
69;13;4;5;260000,00
69;14;4;5;240000,00
69;15;4;5;280000,00
84;1;3;6;12500000,00
84;2;3;6;5800000,00
84;3;3;6;7100000,00
84;4;3;6;4500000,00
84;6;3;6;5400000,00
84;7;3;6;4000000,00
84;9;3;6;3400000,00
84;12;3;6;1900000,00
64;1;4;8;6800000,00
64;2;4;8;2900000,00
64;3;4;8;3200000,00
64;4;4;8;1800000,00
64;6;4;8;1500000,00
64;7;4;8;1200000,00
90;1;1;2;18500000,00
90;2;1;2;4400000,00
90;3;1;2;6000000,00
90;4;1;2;3700000,00
90;6;1;2;2900000,00
80;1;1;12;1900000,00
80;2;1;12;760000,00
80;3;1;12;900000,00
80;6;1;12;400000,00
90;1;1;9;8500000,00
90;2;1;9;3200000,00
90;3;1;9;4100000,00
90;6;1;9;1200000,00
90;10;1;9;580000,00
100;1;4;5;4284000,00
100;2;4;5;2142000,00
100;3;4;5;1785000,00
100;4;4;5;1071000,00
100;5;4;5;694000,00
100;6;4;5;836000,00
100;7;4;5;765000,00
100;8;4;5;602000,00
100;9;4;5;653000,00
100;10;4;5;388000,00
100;11;4;5;347000,00
100;12;4;5;490000,00
100;13;4;5;265000,00
100;14;4;5;245000,00
100;15;4;5;286000,00
115;1;3;6;12800000,00
115;2;3;6;5900000,00
115;3;3;6;7300000,00
115;4;3;6;4600000,00
115;6;3;6;5600000,00
115;7;3;6;4100000,00
115;9;3;6;3500000,00
115;12;3;6;2000000,00
95;1;4;8;6800000,00
95;2;4;8;2900000,00
95;3;4;8;3200000,00
95;4;4;8;1800000,00
95;6;4;8;1500000,00
95;7;4;8;1200000,00
120;1;1;2;18800000,00
