ID_Data;Data;Mes;Nome_Mes;Trimestre;Ano;Eh_Feriado
1;01/01/2026;1;Janeiro;1;2026;Sim
2;02/01/2026;1;Janeiro;1;2026;Não
3;03/01/2026;1;Janeiro;1;2026;Não
4;04/01/2026;1;Janeiro;1;2026;Não
5;05/01/2026;1;Janeiro;1;2026;Não
6;06/01/2026;1;Janeiro;1;2026;Não
7;07/01/2026;1;Janeiro;1;2026;Não
8;08/01/2026;1;Janeiro;1;2026;Não
9;09/01/2026;1;Janeiro;1;2026;Não
10;10/01/2026;1;Janeiro;1;2026;Não
11;11/01/2026;1;Janeiro;1;2026;Não
12;12/01/2026;1;Janeiro;1;2026;Não
13;13/01/2026;1;Janeiro;1;2026;Não
14;14/01/2026;1;Janeiro;1;2026;Não
15;15/01/2026;1;Janeiro;1;2026;Não
16;16/01/2026;1;Janeiro;1;2026;Não
17;17/01/2026;1;Janeiro;1;2026;Não
18;18/01/2026;1;Janeiro;1;2026;Não
19;19/01/2026;1;Janeiro;1;2026;Não
20;20/01/2026;1;Janeiro;1;2026;Não
21;21/01/2026;1;Janeiro;1;2026;Não
22;22/01/2026;1;Janeiro;1;2026;Não
23;23/01/2026;1;Janeiro;1;2026;Não
24;24/01/2026;1;Janeiro;1;2026;Não
25;25/01/2026;1;Janeiro;1;2026;Não
26;26/01/2026;1;Janeiro;1;2026;Não
27;27/01/2026;1;Janeiro;1;2026;Não
28;28/01/2026;1;Janeiro;1;2026;Não
29;29/01/2026;1;Janeiro;1;2026;Não
30;30/01/2026;1;Janeiro;1;2026;Não
31;31/01/2026;1;Janeiro;1;2026;Não
32;01/02/2026;2;Fevereiro;1;2026;Não
33;02/02/2026;2;Fevereiro;1;2026;Não
34;03/02/2026;2;Fevereiro;1;2026;Não
35;04/02/2026;2;Fevereiro;1;2026;Não
36;05/02/2026;2;Fevereiro;1;2026;Não
37;06/02/2026;2;Fevereiro;1;2026;Não
38;07/02/2026;2;Fevereiro;1;2026;Não
39;08/02/2026;2;Fevereiro;1;2026;Não
40;09/02/2026;2;Fevereiro;1;2026;Não
41;10/02/2026;2;Fevereiro;1;2026;Não
42;11/02/2026;2;Fevereiro;1;2026;Não
43;12/02/2026;2;Fevereiro;1;2026;Não
44;13/02/2026;2;Fevereiro;1;2026;Não
45;14/02/2026;2;Fevereiro;1;2026;Não
46;15/02/2026;2;Fevereiro;1;2026;Não
47;16/02/2026;2;Fevereiro;1;2026;Sim
48;17/02/2026;2;Fevereiro;1;2026;Sim
49;18/02/2026;2;Fevereiro;1;2026;Não
50;19/02/2026;2;Fevereiro;1;2026;Não
51;20/02/2026;2;Fevereiro;1;2026;Não
52;21/02/2026;2;Fevereiro;1;2026;Não
53;22/02/2026;2;Fevereiro;1;2026;Não
54;23/02/2026;2;Fevereiro;1;2026;Não
55;24/02/2026;2;Fevereiro;1;2026;Não
56;25/02/2026;2;Fevereiro;1;2026;Não
57;26/02/2026;2;Fevereiro;1;2026;Não
58;27/02/2026;2;Fevereiro;1;2026;Não
59;28/02/2026;2;Fevereiro;1;2026;Não
60;01/03/2026;3;Março;1;2026;Não
61;02/03/2026;3;Março;1;2026;Não
62;03/03/2026;3;Março;1;2026;Não
63;04/03/2026;3;Março;1;2026;Sim
64;05/03/2026;3;Março;1;2026;Não
65;06/03/2026;3;Março;1;2026;Não
66;07/03/2026;3;Março;1;2026;Não
67;08/03/2026;3;Março;1;2026;Não
68;09/03/2026;3;Março;1;2026;Não
69;10/03/2026;3;Março;1;2026;Não
70;11/03/2026;3;Março;1;2026;Não
71;12/03/2026;3;Março;1;2026;Não
72;13/03/2026;3;Março;1;2026;Não
73;14/03/2026;3;Março;1;2026;Não
74;15/03/2026;3;Março;1;2026;Não
75;16/03/2026;3;Março;1;2026;Não
76;17/03/2026;3;Março;1;2026;Não
77;18/03/2026;3;Março;1;2026;Não
78;19/03/2026;3;Março;1;2026;Não
